post_id,platform,text,num_hashtags,num_emojis,post_length,sentiment,engagement,viral_label,time_of_day,day_of_week
post_1,Twitter,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,1,1,76,Positive,252,Not Viral,Morning,Saturday
post_2,Instagram,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,0,1,83,Positive,176,Viral,Evening,Monday
post_3,Facebook,Can’t believe how amazing the new product is! #gamechanger #innovation,3,0,70,Neutral,843,Not Viral,Evening,Wednesday
post_4,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,5,1,71,Negative,683,Not Viral,Morning,Friday
post_5,Twitter,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,4,3,68,Positive,142,Not Viral,Afternoon,Thursday
post_6,Instagram,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,4,2,81,Negative,422,Viral,Evening,Sunday
post_7,TikTok,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,5,4,78,Negative,538,Not Viral,Afternoon,Monday
post_8,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",3,1,82,Negative,146,Not Viral,Afternoon,Saturday
post_9,TikTok,Can’t believe how amazing the new product is! #gamechanger #innovation,2,3,70,Positive,646,Not Viral,Morning,Friday
post_10,Facebook,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,3,3,78,Neutral,767,Viral,Evening,Wednesday
post_11,Instagram,Loving the new update! The UI is so much smoother. #update #newfeatures,0,4,71,Negative,502,Not Viral,Evening,Thursday
post_12,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,2,4,76,Neutral,274,Not Viral,Evening,Friday
post_13,TikTok,That feeling when you finish a big project. So proud of the results. 💪 #success,0,2,79,Positive,400,Not Viral,Morning,Monday
post_14,TikTok,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,3,1,71,Positive,649,Viral,Evening,Tuesday
post_15,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,3,1,79,Neutral,566,Not Viral,Afternoon,Saturday
